,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@jaymee_danielle,zen kitty,10 dic. 2017,"issues i have w/ GMO:
• doesnt taste “natural”
• spread of superweeds/superbugs
• no long term studies
• new allergies
• unpredictable outcomes/side effects
• better ways to feed the world
GM crops aren’t about feeding the world but about patented ownership of food supply",67,179,/jaymee_danielle/status/939965734196842496,
1,@systecdb,Dave Baggett,10 dic. 2017,"It dawns on me that before GMO foods became prevalent you rarely heard of nut allergies, boys thinking they're really girls, or many with a low regard for life. And consider the affects of modern pesticides. Best alternative I know is heirloom  organic & kosher & 2 limit sugar.",0,1,/systecdb/status/939776697724997632,
2,@saltedveg,ingin punya tuyul saja,10 dic. 2017,"Coz it's 'cool'. Just like people who suddenly developed gluten allergy.
""Excuse me, I'd like to order this non GMO cruelty free gluten free vegan burger, wheatgrass shot, and this overpriced coldpressed juice.""
SOPHISTICATED AF",1,1,/saltedveg/status/939675324765298688,
3,@RMathebulo,Rantho Mathebulo,9 dic. 2017,Alcoholism gout acne genetically modified food AIDS high blood pressure hypertension allergies poisoned fruit& vegs...The list is endless!!!,0,0,/RMathebulo/status/939601946960453633,
4,@carmelabny,JOSEPHINE BOLOGNA,8 dic. 2017,"Foods to eat every day and a healthy product to prepare them... Josie's Coat Of Oats has no bread, no GMO and is Celiac, Allergy, Vegan friendly! Start today.. Order now! pic.twitter.com/RWeEvvOFVN",7,4,/carmelabny/status/939102225800028160,
5,@TradMatador,Matador,8 dic. 2017,I used to be pro gmo until I had a family member whom had to switch to organics because of allergy reasons. Im just not as autistic as others about it.,0,0,/TradMatador/status/939091535756439552,
6,@jeffjeffjeff_o,Jefferey Ostlind,8 dic. 2017,Today I developed an allergy to bandaids. Must be those pesky gmo's. Or maybe vaccines,0,3,/jeffjeffjeff_o/status/939024876102287361,
7,@DylanCornelius,Dylan Cornelius,7 dic. 2017,HOW GMOS CAN MAKE ALLERGIES WORSE https://www.gmonion.com/how-gmos-can-make-allergies-worse/ … #health #allergy #allergic #gmo,0,0,/DylanCornelius/status/938906198178500608,
8,@DocCamiRyan,Cami Ryan,6 dic. 2017,"MYTH: Removing or reducing GMOs from your diet may offer serious health improvements.
FACT: GMOs have the same nutrition & composition as non-GM crops & have no links to new allergies, cancer, celiac or other diseases. http://bit.ly/2in0CPJ",3,6,/DocCamiRyan/status/938505529554604032,
9,@OccDemParody,ODP,6 dic. 2017,"Why not tapwater, toothpaste, #vaccines, #GMO, #CHEMFARMING and #SMARTMETERS? Who ever said only a ""few people"" are to blame for the epidemic of Cancer, Mental Illness, Peanut Allergies and #GenderConfusion?",0,0,/OccDemParody/status/938449225511137281,
