,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@khabarta,Ken Habarta,28 sept. 2017,Genetically modified wheat points towards a future of highly engineered functional foods #futureoffoodhttp://www.iflscience.com/health-and-medicine/genetically-modified-wheat-could-give-celiacs-their-daily-bread/ …,0,1,/khabarta/status/913392436579315712,
1,@_WeAreRare_,We Are RARE,13 ago. 2017,"We are rare 2017 convention sponsor. 
 Providing functional foods not GMO formula https://www.instagram.com/p/BXtqPYbl-sm/",0,0,/_WeAreRare_/status/896525032993816577,
2,@gmo_crops,GMO Crop News,16 jul. 2017,#GMO news: Nutraceuticals Market by Type Functional Food Probiotics Fortified Foods Omega Fatty Acid Fortified ... http://ow.ly/D7yM50cPXOg,0,0,/gmo_crops/status/886556329963376640,
3,@gmo_crops,GMO Crop News,11 dic. 2016,Europe Phytochemicals and Plant Extracts Market by Applications Functional Food Functional Beverages Dietary Su... http://ow.ly/g2qH507s20t,0,0,/gmo_crops/status/808111039376216065,
4,@gmo_crops,GMO Crop News,9 dic. 2016,North America Phytochemicals and Plant Extracts Nutraceuticals Market By Application Functional food Functional... http://ow.ly/tp7y507oYQj,0,0,/gmo_crops/status/807386955042422786,
5,@NuWayCereal,NuWayCereal,24 nov. 2016,"#NuWay functional food ON-THE-GO
The ideal anytime of the day health snack 
Made with GMO… https://www.instagram.com/p/BNMQ1QtDhCg/",0,0,/NuWayCereal/status/801752817908191232,
6,@NuWayCereal,NuWayCereal,6 oct. 2016,"#NuWay granola functional food
#High protein #High fiber #Preservative free #GMO free #Tartrazine free #LiveYourDayaNuWay #RolledOatspic.twitter.com/burL4W9lXS",0,0,/NuWayCereal/status/784055521120776192,
7,@chriswang_cl,Chris Wang,5 ene. 2016,Korea to Expand GMO Labeling Scope to Foods and Functional Foods https://lnkd.in/eXuPm_y,0,0,/chriswang_cl/status/684304554939133953,
8,@Olivier_Loget,Olivier Loget,11 may. 2014,"Bio Korea: vaccines, clinical trials, regenerative medicine, bio energy, GMO, functional food, technology transfer",0,0,/Olivier_Loget/status/465612804876423170,
9,@safoodindustry,SA Food Industry,31 jul. 2013,Futurelife is the first company in the functional food market in South Africa to make the move to GMO Free products. http://ow.ly/nvB1X,0,0,/safoodindustry/status/362656578198966272,
10,@AquaBronze,Vikki Ann,9 abr. 2013,"“@WTFisINourFOOD: Awesome #vegan #proteinpowder #gmo free #organic @heartlandorganicfuntionalfoods ..""I Love title 'FUNCTIONAL FOODS""",0,0,/AquaBronze/status/321627128259026945,
11,@chellpuddock,Terry Turner,24 may. 2012,"Functional Foods, Genetically Modified & Irradiation -- Natural Alternative Health Newsletter http://shar.es/qs0DB  via @sharethis",0,0,/chellpuddock/status/205677481993310210,
12,@kikiputeri,Rizky P Amaliyah,8 nov. 2011,"Functional foods, nutracetical foods, genetically modified foods, and I think that I start to be a pharmacist *poke @sabrinakiranaa",0,0,/kikiputeri/status/134041445878333440,
13,@GMO_Safety,GMO Safety,26 may. 2011,Study: New #GMO crops with #consumer benefits improve human #health via storage #proteins? http://bit.ly/jYkBzK #Japan #functional #food,0,0,/GMO_Safety/status/73652021936402432,
14,@gmo_crops,GMO Crop News,11 dic. 2016,#GMO news: Europe Phytochemicals and Plant Extracts Market by Applications Functional Food Functional Beverages... http://ow.ly/owdT507rWuu,0,0,/gmo_crops/status/808100130075373568,
15,@gmo_crops,GMO Crop News,9 dic. 2016,#GMO news: North America Phytochemicals and Plant Extracts Nutraceuticals Market By Application Functional food... http://ow.ly/R7wC507nr7e,0,0,/gmo_crops/status/807193465956298752,
