,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@LaurenGabb,Lauren,11 dic. 2017,"Hi, the problem with GMO foods is not health concerns but what they do to small farmers and biodiversity.",0,1,/LaurenGabb/status/940254337384812544,
1,@ACOSustain,ACOS,10 dic. 2017,"People are not “freaking out” about GMO. We’re now educated about resistance, contamination of organic fields and the decline of ecosystem health where bt crops are grown. We also support seed biodiversity and much smaller sized farms.",0,1,/ACOSustain/status/939907363515092992,
2,@NoGMOsVerified,NoGMOsVerified,10 dic. 2017,"""The Vibrant New Sciences of Biodiversity"" #GMOs #GMO http://NoGMOsVerified.com  /n http://dld.bz/dXYzW",0,1,/NoGMOsVerified/status/939904894651260929,
3,@NoGMOsVerified,NoGMOsVerified,10 dic. 2017,Gene drive extinction technology is a war against the planet and biodiversity #GMOs #GMO http://NoGMOsVerified.com  /n http://dld.bz/gygUy,0,0,/NoGMOsVerified/status/939902259676229632,
4,@DFreymoyer,Donnie Freymoyer,9 dic. 2017,Another serious problem in our agriculture / GMO's is the lack of biodiversity if you only grow one type of corn leaves vunerable to disease,0,0,/DFreymoyer/status/939564044083744768,
5,@robert_cockroft,Robert Cockroft,8 dic. 2017,Herbicide resistance and biodiversity: agronomic and environmental aspects of genetically modified he... https://enveurope.springeropen.com/articles/10.1186/s12302-016-0100-y?utm_source=Newsletter&utm_medium=Email&utm_campaign=12302HighlyAccessedDynamicEmail2017-2&sap-outbound-id=2F6BA1E5A8DCC2275BC7B8666DB122E6BDA009F7 … #enveurope,1,1,/robert_cockroft/status/939206646420660225,
6,@JamesDropsBombs,Goodflow Trillson  🤖,8 dic. 2017,Beginning to come to terms with the seemingly inevitable immense loss in biodiversity. Maybe the GMO fields and ‘wildernesses’ will be beautiful.,0,0,/JamesDropsBombs/status/939148111066394630,
7,@lexyabutu,Alex Abutu,5 dic. 2017,"#NBMA safeguards human health, biodiversity and the environment from any potential adverse effects of Genetically Modified Organisms (GMOs) including food safety - Minister @BiosafetyNig @FMEnvng @estherclimate @msimire",9,8,/lexyabutu/status/937940424836243456,
8,@GRAIN_org,GRAIN,3 dic. 2017,"Vietnam's ministry of agriculture decided to open the door to #GMOs 6 years ago. What consequences for small farmers? Watch the proceedings of the ""Regional Sharing on GMO and Local Biodiversity"" organised by CENDI in Hanoi. https://youtu.be/8PoM4sCGvow  #Dekalb",27,20,/GRAIN_org/status/937156189300781056,
9,@VlamingStLouis,"Erik Jacobs, ir",30 nov. 2017,"Sustainably increasing #agricultural #productivity on existing acreage by using all available technology is crucial to preserve forests, wetlands and their #biodiversity. #Glyphosateisvital #gmo #Plantbreeding #digitalagriculture #biologicals #pesticides #precisionaghttps://twitter.com/rnfrstalliance/status/936127813110960128 …",1,3,/VlamingStLouis/status/936216702563610624,
10,@earwino,Earwin Pelagio,28 nov. 2017,Monoculture is what causes this loss in biodiversity. This practice was used centuries before we have the technology for modern biotech(GMO),0,0,/earwino/status/935505276920201218,
11,@EnviroEdgeNews,EnviroEdgeNews,27 nov. 2017,RT France - Lemonde reports how the official agencies have concealed the herbicide by copying the assessments provided by Monsanto [English} http://bit.ly/2Bi1ywg  #gmo #ogm #banpesticides #bees #savethebees #biodiversity #wildlifecrime #stopglyphosate #MonsantoPapers,3,1,/EnviroEdgeNews/status/935283179883257858,
12,@spacenicom,Nico M Ⓥ,27 nov. 2017,"The only reason i found is the use of GMO on cultured lab meat, but hopefully that's costs too much and isnt really needed. GMO is used on agricolture causing biodiversity loss and failing ecosystems, a new, fair agricolture must spring #vegan pic.twitter.com/sJ8wVgJKmo",2,5,/spacenicom/status/935269644595802112,
13,@helen_bleep,Helen G,27 nov. 2017,"Controversial #glyphosate weedkiller wins new five-year lease in #Europe https://www.theguardian.com/environment/2017/nov/27/controversial-glyphosate-weedkiller-wins-new-five-year-lease-in-europe …
#monsanto #bayer #herbicide #bees #biodiversity #gmo",0,0,/helen_bleep/status/935234687580205058,
14,@vixenvalentino,V Valentino,26 nov. 2017,"Believe it or not I try to step into other's perspectives quite often. I don't think in terms of GMO vs Non, conventional vs organic. My perspective is abt biodiversity, seed freedom, sustainability, equity, independence etc rather than the 'anti' label I get slapped with here.",0,2,/vixenvalentino/status/934856736309202944,
15,@SIANIAgri,SIANI Agriculture,24 nov. 2017,Bananapocalypse: Is genetic modification the solution to spreading diseases in #banana plants? Get an insight: http://bit.ly/2zr5PRF  @guardian #biodiversity #GMO #foodsecuritypic.twitter.com/2yzJI8hmlN,3,1,/SIANIAgri/status/934044702856372224,Usuario Verificado
16,@mmurdock60,Matt Murdock,21 nov. 2017,GMO affects on biodiversity of nature.  Unintended GMO affects.  The past dark history of GMO and our food with Roundup Ready GMOs.,0,0,/mmurdock60/status/932840630560149505,
17,@agbiotech,CBI,20 nov. 2017,Not sure how GMOs impact the environment ? Here are 5 facts that might surprise you! @GMOAnswers #GMO #Environment #Biodiversity #Ecologypic.twitter.com/jWlsVCcVa5,2,0,/agbiotech/status/932683220767969280,
18,@EnviroEdgeNews,EnviroEdgeNews,18 nov. 2017,Armenia Tree Project Issues Statement on Mon.: Keep Armenia Free of #GMOs https://shrtm.nu/ziJ0  #gmo #pesticides #pesticidefree #RighttoKnow #ogm #trees #occupyearth #occupy #resistance #resist #biodiversity #wildlife #Anonymous,0,0,/EnviroEdgeNews/status/932023410166820865,
19,@erleellis,Erle Ellis (艾尔青),17 nov. 2017,"‘Gene Drives’ Are Too Risky for Field Trials, Scientists Say https://nyti.ms/2jvLMKN  #anthropocene #GMO #biodiversity #conservationpic.twitter.com/EJ4MTvEDtV",0,1,/erleellis/status/931568380703846400,Usuario Verificado
