,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@bioamara,Amara,17 jul. 2017,"Genetically modified #yeast mops up heavy metal pollution
#Bioremediation #GMO #biotech #HeavyMetalhttp://flip.it/.iAbgr",2,3,/bioamara/status/886854464946229248,
1,@Samsonprolific,Ogbole Samson,4 feb. 2017,"yes breeding is needed but not GMO, tissue culture is needed to clean seeds, bioremediation to clean soil",1,0,/Samsonprolific/status/827980196527632385,
2,@AgBioWorld,C. S. Prakash,8 ene. 2017,A Bullet that we can all get behind: US Army Developing Biodegradable Bullets With #GMO Seeds for bioremediation!  http://gizmodo.com/dod-wants-to-save-the-environment-with-bullets-that-pla-1790937385?utm_campaign=socialflow_gizmodo_twitter&utm_source=gizmodo_twitter&utm_medium=socialflow …,16,7,/AgBioWorld/status/818125955323592709,
3,@sommerhixson,Sommer,11 oct. 2016,"Selective breeding won't feed a future growing population. Ask a scientist abt GMO, or stay confused. #SXSWEco #bioremediation",0,1,/sommerhixson/status/785858738351640576,
4,@yeast_papers,yeast_papers,10 jul. 2016,Pubmed: Increased copper bioremediation ability of new transgenic and adapted Saccharomyces cerevisiae strains. http://dlvr.it/LmHCJD,0,0,/yeast_papers/status/752090635788644353,
5,@matthewkchun,Matthew Chun,19 feb. 2016,@WIRED blasphemous. China doesn't need GMO's. China needs bioremediation.,0,0,/matthewkchun/status/700613314863190016,
6,@AgroBiotechRom,AgroBiotechRom,16 dic. 2015,One of the potential benefits of transgenic plants is their use in bioremediation #biotech #biotechnology #biotehnologie,0,0,/AgroBiotechRom/status/677125000395153408,
7,@yaminapressler,Yamina Pressler,17 nov. 2015,"[3]gmo microbial and plant constructs [4]bioremediation to clean up soils [5]astromicrobiology, Mars and beyond #ACSMtg 2/n",1,0,/yaminapressler/status/666707236287287296,
8,@Hau5Junky_M,ReigninQueenOfKOOL,17 ago. 2014,Bioremediation of soil using transgenic plants,0,0,/Hau5Junky_M/status/501025916714102784,
9,@CristinaGardens,Cristina da Silva,30 may. 2014,@yolandavanveen And mustard greens. I am not too sure about the transgenic plants Scientists have developed for bioremediation #groundchat,2,0,/CristinaGardens/status/472449721206722560,
10,@MattSteeleYYC,Matt Steele,8 feb. 2014,Using genetically modified organisms for bioremediation of contaminated sites http://goo.gl/G2A4sF,0,0,/MattSteeleYYC/status/432249714138820608,
11,@GJackGallagher,Gordon Gallagher,7 jun. 2013,"#gulfcoastplague is not a #staphinfection but a #GMO #biohazard from #bioremediation,  #herbal #remedy is a http://potents.info",0,0,/GJackGallagher/status/343179680389672961,
12,@ADACK111,Alan D Ackerman,22 mar. 2013,Malama 'Aina bioremediation and cleanup of land and water poisoned by toxic chemicals from sugar and GMO corn is... http://fb.me/P0sgCiyi,0,0,/ADACK111/status/315218755590422528,
13,@Ms_domboms,Ms.White™,8 nov. 2012,"Bioremediation: by transgenic bacterica to clean up oil spills, to toxic watse dumps.",0,0,/Ms_domboms/status/266596112348086272,
14,@lizabio,Liza Gross,29 jul. 2012,@jadufakal You c/start here: Characterization of mercury bioremediation by transgenic bacteria expressing metallo...http://bit.ly/QW67SV,0,0,/lizabio/status/229648887995056128,
15,@gkygirlengineer,Geeky Girl Engineer,10 jul. 2012,"@JATetro Bioremediation prof told story of GMO and nutrients introduced to eat recalcitrant pollutant, native bio ate GMO and then pollutant",0,0,/gkygirlengineer/status/222814238324948993,
16,@juadomrob,Juan Domínguez,16 may. 2012,"Phytoremediation with transgenic plantas is the best technology for the bioremediation of contaminated soils with TNT, and other explosives",0,0,/juadomrob/status/202746048358264832,
17,@maureey,Patra babyluv,12 oct. 2011,Characterization of mercury bioremediation by transgenic bacteria expressing metallothionein and polyph... http://www.biomedcentral.com/1472-6750/11/82,1,0,/maureey/status/124065430204719104,
18,@Symbiologica,Juliana Ansari,15 ago. 2011,Characterization of mercury bioremediation by transgenic bacteria expressing metallothionein and polyphosphate kinase http://www.biomedcentral.com/1472-6750/11/82/abstract …,0,0,/Symbiologica/status/103110892270526464,
19,@litzyhammondmas,Litzy Hammond,12 ago. 2011,Characterization of mercury bioremediation by transgenic bacteria expressing ... - 7thSpace Interactive (press release) http://bit.ly/p3MSPR,0,0,/litzyhammondmas/status/102107764196777984,
20,@IRGRL,💚 🕹 💋Steph 💋 🕹  💚,12 oct. 2009,"@johno1978 bioremediation, genetic engineering or GMO—genetically modified organisms, and agricultural biotechnology- current studys",0,0,/IRGRL/status/4815032169,
