,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@lisa_alba,🌹spirito ✨di ✨libertà,11 dic. 2017,do you mean planting and eating GMO then getting cancer is preferable to planting and eating natural heirloom?,0,1,/lisa_alba/status/940295773446639616,
1,@ShaunPrince_,Shaun Prince,11 dic. 2017,Or they're genetically modified and have no nutritional value along with having free radicals in our system that causes cancer and glaucoma,0,0,/ShaunPrince_/status/940284917300318209,
2,@cupkeiii,Kei,11 dic. 2017,"Sadly, tonight's also my first time talking to someone who doesn't believe in medical treatments esp organ transplants, pharmaceutical drugs, CANCER! (invented daw siya by people for profit huhu), VACCINES!!, ARV treatment for PLHIV huhu, GMO, EJK, antidepressant medications, etc",0,0,/cupkeiii/status/940262356193394688,
3,@Wolfspirit_73,hantaywee.makawee,11 dic. 2017,"You know GMO's are Gov says are safe cause Cancer, Birth Defects All the Pesticides are bad they over load us with them This needs to stop!!!!",1,1,/Wolfspirit_73/status/940257490758877186,
4,@Whooooamii,WHOAMI,11 dic. 2017,We're losing the free internet. We have cell towers giving us cancer. Gmo's giving us cancer. Big brother collecting all our data,0,1,/Whooooamii/status/940252854257897479,
5,@Memberberryvine,Mary Ann Campbell,11 dic. 2017,"The article says they are unpollinated. It does not say they are genetically modified. I do not believe genetically modified avocados exist yet. Also, how exactly do GMOs cause cancer?",0,0,/Memberberryvine/status/940242291486314497,
6,@soapdoesit,saint boudreau,11 dic. 2017,"wrong; the thief is governments / big poison corps. . vaccinations, GMO, PESTICIDES. 
, ''CANCER IS AN IMMUNE SYSTEM CORRUPTION, ''  GREED is killing the immune system   @USSenateWatch",0,1,/soapdoesit/status/940223997937176576,
7,@NoGMOsVerified,NoGMOsVerified,11 dic. 2017,Farmers sue Monsanto over alleged Roundup cancer link/Germany may abstain on.. #GMOs #GMO http://NoGMOsVerified.com  /gwhttp://dld.bz/e6FXC,2,1,/NoGMOsVerified/status/940216996989456386,
8,@lisa_alba,🌹spirito ✨di ✨libertà,11 dic. 2017,"GMO CORN CAUSES CANCER ACCREDITED STUDY
GMO, Global Alert https://youtu.be/Njd0RugGjAg  via @YouTube",1,2,/lisa_alba/status/940167732372365312,
9,@LonelyScribe,babygirl x,11 dic. 2017,"People are gonna start getting cancer from boneless GMO avocado, watch https://twitter.com/todayshow/status/939264621902307328 …",1,3,/LonelyScribe/status/940008565925957633,
10,@432HZs,🦌°ɅRI №ᵍ.,11 dic. 2017,"[ And that processed food with all that GMO and all that soda gon' give you cancer before weed ever will, and y'all still gon' complain about drugs? ]",0,1,/432HZs/status/939991802563743744,
11,@MiaJYoung0201,MiaChristmas 🎄,10 dic. 2017,Don’t worry. No ‘avocado hand injuries’ but a little GMO cancer in return,1,1,/MiaJYoung0201/status/939926491000987648,
12,@NatureEcoEvo,NatureEcoEvo,10 dic. 2017,"Last talk is Bruce Tabashnik on lessons from insect resistance to transgenic crops, a field that @cmaley argues is decades ahead of cancer evolution. #ISEEC17",3,5,/NatureEcoEvo/status/939920071563939840,Usuario Verificado
13,@Norton_Anti,Tony Ortega,10 dic. 2017,">Go to college for years
>Can do research to fight cancer or other illnesses
>Can help develop genetically modified catgirls for domestication
>Na fuck that. These avocados need to be seedless.
I bet he took money from Jeb Bush",0,6,/Norton_Anti/status/939918175197679617,
14,@RoyalGaius,King Gaius®,10 dic. 2017,#Monsanto and it’s genetically modified crops. I just wish for #African countries to maintain a #noGMO policy. #Monsanto is like the devil who never gives without taking something in return. #GMO is a cancer to the world. https://twitter.com/reutersworld/status/939887189718110208 …,2,3,/RoyalGaius/status/939892767693639680,
15,@ThisMomHCN,Heidi,9 dic. 2017,"Soft kill: 19 ways they are giving us #cancer ~ #Globalist goal of massive #depopulation.
#BPA #Fluoride #Parabens #Aluminum #Chemtrails #Sunscreen
#Sugar #MedicalRadiation #Mammograms #Xray #Pesticides #Cellphones #Mercury #Vaccines #Aspartame #GMO'
...
https://twitter.com/SheenaParish/status/939577059025842176?s=17 …",15,19,/ThisMomHCN/status/939584965737508864,
16,@RaeVasho,Melony Rae Vasho,7 dic. 2017,"Does anyone care that GMO foods kill, chemtrails poison ppl & all life? Lyme disease is CANCER, AIDS, PAIN wrapped together? #chroniclymepic.twitter.com/dA59XEfTsE",1,3,/RaeVasho/status/938907312479195137,
17,@grindinger,Caroline Grindinger,6 dic. 2017,"Me: 
STEM majors: OH YOuuuuuuuUuUuu think you have it hard???? Today I found the cure to cancer, genetically modified my dog, and hacked Gods cell phone. You have no idea how much work I have. You'll never get a job eating playdoh all day you idiot",22,127,/grindinger/status/938507893745291265,
