,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@LeftSentThis,LEFT ✍🏾,11 dic. 2017,"Monsanto 
DuPont
Dow
Bayer 
Making patentable genetically-modified seeds, resistant to chemical pesticides and herbicides...
The next question is: who owns the chemicals that can destroy non genetically modified crops?   Who does it effect? Who ultimately benefits?",12,22,/LeftSentThis/status/940309890060378112,
1,@AFreshLook,A Fresh Look,11 dic. 2017,"Soybeans grown with GMO Farming are just like other farms’ crops, but they need less water, land & pesticides. http://takeafreshlook.org/6018rIomw pic.twitter.com/o99vlvpqu1",1,3,/AFreshLook/status/940309817348050944,
2,@KSFarmBureau,Kansas Farm Bureau,11 dic. 2017,Sometimes there are non-GMO labels where non-GMO labels don't need to be. These are the 10 GMO crops available today. #gmospic.twitter.com/EDnCZcE2mY,5,7,/KSFarmBureau/status/940304028910702592,
3,@GeneticLiteracy,Genetic Literacy,11 dic. 2017,Talking Biotech: How will #dicamba herbicide-resistant #GMO crops fare after contamination fiasco? https://geneticliteracyproject.org/2017/12/11/talking-biotech-dicamba-herbicide-resistant-gmo-crops-will-fare-contamination-fiasco/ … via @kevinfolta @weedgirl24 #GMOspic.twitter.com/FKqdboylX8,1,1,/GeneticLiteracy/status/940275063470862336,
4,@catherinevandeh,Catherine Ann,11 dic. 2017,"Only If u wk 4 a Satanic Co. like Monsanto, or don't have a conscious, or prob. w/how gmo's are poisoning& destroying our food, killing all of God's natural seeded plants that grow near2 these demonic plants!And making our soil useless where these gmo corn & soy crops are grown",1,1,/catherinevandeh/status/940224255656169472,
5,@upton1144,Barbara Upton,11 dic. 2017,We're losing our fertile soil because we are poisoning it to death. GMO crops w its attending increased pesticide use is unsustainable. Wish he had mentioned that. https://www.theguardian.com/commentisfree/2017/dec/11/mass-starvation-humanity-flogging-land-death-earth-food?CMP=share_btn_tw …,3,1,/upton1144/status/940211095981232128,
6,@NatureBiotech,Nature Biotechnology,11 dic. 2017,"Pollen transformation by 'magnetofection' achieved in cotton, pumpkin and pepper. Enables production of transgenic seeds in difficult-to-transform crops http://go.nature.com/2z19eVw  #NBThighlight",8,22,/NatureBiotech/status/940201448968720384,Usuario Verificado
7,@AadhaarLies,Aadhaar Lies,11 dic. 2017,"A Mind Blowing Ground Report By @AFPOHIndia. #Farmers In India Are Under Serious Threats From Evil Tech Like #Aadhaar, #HAARP, Genetically Modified Crops (#GMCs), Etc. @_PTLB @_CEPHRC @DigitalIndiaLaw @FreedomMyths @_Orwellian @_GroundReality @_PerIncuriam @FaitAccompalipic.twitter.com/BBuoedyZ80",11,7,/AadhaarLies/status/940169153788309504,
8,@jaymee_danielle,zen kitty,11 dic. 2017,"issues i have w/ GMO:
• doesnt taste “natural”
• spread of superweeds/superbugs
• no long term studies
• new allergies
• unpredictable outcomes/side effects
• better ways to feed the world
GM crops aren’t about feeding the world but about patented ownership of food supply",67,179,/jaymee_danielle/status/939965734196842496,
9,@ATJCagan,Alex Cagan,10 dic. 2017,Bruce Tabashnik on insect resistance to transgenic crops: lessons from the first billion acres #ISEEC17pic.twitter.com/22YpEeQgNu,10,27,/ATJCagan/status/939929639937490945,
