,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@GMOChannel,World Affairs,11 dic. 2017,"Does GDP reflect the prosperity of a country? Not quite. Here are the gotchas...
#economy #inequality #debthttps://worldaffairs.blog/2017/12/07/why-gdp-is-a-fake-measure-of-a-countrys-prosperity/ …",0,0,/GMOChannel/status/940012427420221440,
1,@MigrantEdu,Gmo A. Cortés,7 dic. 2017,United Nations official visiting Alabama to investigate 'great poverty and inequality' http://google.com/newsstand/s/CBIwjruJijc …,0,0,/MigrantEdu/status/938565638666313728,
2,@galAgmo,Gmo Galvan A,5 dic. 2017,"The GOP CORPORATE WELFARE TAX is a TROJAN HORSE against the USA
-IT’S VERY UNFAIR - The more you earn, the more you get. It Increases INEQUALITY. -INDIVIDUAL CUTS EXPIRE, but Corporate cuts are PERMANENT.
-ELIMINATES DEDUCTIONS for state and local taxes. https://twitter.com/HorsleyScott/status/938126325163937792 …",0,0,/galAgmo/status/938135176395157504,
3,@zbattiz,Stefano Battiston,28 nov. 2017,except that the reason why companies like GMO is rent extraction. which leads to inequality. let alone messing up with ecosystem in way we do not know,0,1,/zbattiz/status/935645260969136128,
4,@kuciFM,KUCI,11 nov. 2017,"Nathan, Mike, & Mahler tackle sheep, genetically modified skin, dinosaurs, the “Heavenly Palace,” the ozone layer, an “act of war,” Trump in China, Uber Elevate, Blue Tuesday, the Paradise Papers, inequality, AT&T’s choice, chunky soccer moms, & more. https://trick356.wordpress.com/2017/11/11/travelling-weapons-salesman/ …",0,1,/kuciFM/status/929152453689278465,
5,@STFUnwo,?,22 oct. 2017,"Who cares? Politics has turned into junior high gossip. We are so fucked. I love cloud seeding, #gmo,  #aipac lobbyists & wealth inequality.",0,0,/STFUnwo/status/921977791456870400,
6,@RantsOutloud,Rants Outloud,18 oct. 2017,"Free trade also causes Cisgendered income inequality, Chemtrails, and a GMO zombie apocalypse https://twitter.com/washingtonpost/status/920448494753730561 …",2,6,/RantsOutloud/status/920464579934801920,
7,@hayek,Kevin Parker,17 oct. 2017,"From State U's 2026 syllabus:
-Advanced Inequality (math)
-Climate Change/Vaccine/GMO Skeptic Nap Time (science)
-Speech Prevention (comms)",0,0,/hayek/status/920128097738821632,
8,@redheadgeometry,♥♪♫*¨*•.¸¸ ॐRed ♥♪♫*¨,26 sept. 2017,virtues /principles R compatible. BS/Inequality are not. GMO is blasphemy.Fracking too..if isis contaminated local H20 war would be declared,0,0,/redheadgeometry/status/912828054380130304,
9,@redheadgeometry,♥♪♫*¨*•.¸¸ ॐRed ♥♪♫*¨,24 sept. 2017,Gmo/fracking/wars by proxy/ injustice/weather modification patents/poverty/racism/oppression/inequality is unacceptable. WeROne-God Is Love,0,0,/redheadgeometry/status/912066037692207105,
10,@redheadgeometry,♥♪♫*¨*•.¸¸ ॐRed ♥♪♫*¨,3 sept. 2017,racism is taught with inequality.1666 Reversed virtue agenda=kkk2 Christians/Niga 2 Negus/GMO 2 seed/ISIS 2 muslim/zionist 2 Jew.war 2 peace,0,0,/redheadgeometry/status/904377089104769024,
11,@Leefellerguy,Leefeller Guy,10 ago. 2017,"No way in this world does a progressive support war hawking, fracking, gmo's, neolibralism and its path widening  inequality gap & austarity",0,0,/Leefellerguy/status/895453322630414336,
12,@captainklerk81,Tired and Unamused,1 jul. 2017,"Are you factoring obesity, gmo foods,diet,opioids,sedentary lifestyles,wage inequality,stress, the internets effect on glucose in the brain?",0,0,/captainklerk81/status/881172366033899520,
13,@redheadgeometry,♥♪♫*¨*•.¸¸ ॐRed ♥♪♫*¨,1 jul. 2017,eyes wide shut aggressive/politics/austerity/war/violence/inequality/warsbyproxy/corruption/extortion/poverty/corporate fiction/fracking/gmo,0,2,/redheadgeometry/status/881110691033337857,
14,@bigpicturetv,Big Picture TV,25 jun. 2017,The latest The Big Picture Daily! http://paper.li/bigpicturetv?edition_id=492541d0-59c4-11e7-82b6-0cc47a0d1605 … #gmo #inequality,0,0,/bigpicturetv/status/879015184429453312,
15,@1971_Martin_D28,Earth Protector,19 may. 2017,@ajc11755 @gmo_free_living Just more conservative cultural inequality/insensitivity that is bleeding out of someone's pie hole.,0,0,/1971_Martin_D28/status/865639368320368641,
16,@Anory12Jack,jack anory,18 may. 2017,"same as any gmo. Economic inequality will result in us splitting into different species, human and superhuman",0,0,/Anory12Jack/status/865356277676986368,
17,@gamestopbunnie,Lizzie,14 may. 2017,"Battle the gender pay gap
Battle income inequality
REAL Affordable housing
Breach the Snake River dam
GMO labeling
Single-Payer healthcare",0,3,/gamestopbunnie/status/863577893254815744,
18,@gratott,graeme totten,11 may. 2017,"Want GMO food, insurance based health system run by US corps,low wages,increasing insecurity student debt bubble inequality vote tory",3,1,/gratott/status/862586992487526400,
19,@brandontlocke,Brandon Locke,30 abr. 2017,It's entirely conceivable that GMO crops will accelerate global inequality bc rich nations will produce more & poor won't be able to afford,0,0,/brandontlocke/status/858726810233778177,
20,@galAgmo,Gmo Galvan A,4 dic. 2017,"The GOP CORPORATE WELFARE TAX is a TROJAN HORSE against the USA
-IT’S VERY UNFAIR - The more you earn, the more you get, It Increases Inequality.
-INDIVIDUAL CUTS EXPIRE, but Corporate cuts are PERMANENT.
-ELIMINATES DEDUCTIONS for state and local taxes. [To be Contn'd.]",0,0,/galAgmo/status/937769157839298560,
21,@natecallahan,Nathan Callahan,11 nov. 2017,"Nathan, Mike, & Mahler tackle sheep, genetically modified skin, dinosaurs, the “Heavenly Palace,” the ozone layer, an “act of war,” Trump in China, Uber Elevate, Blue Tuesday, the Paradise Papers, inequality, AT&T’s choice, chunky soccer moms, & more. https://trick356.wordpress.com/2017/11/11/travelling-weapons-salesman/ …",0,0,/natecallahan/status/929152522194862082,
22,@MStarSimonHodge,Simon Hodge,16 mar. 2017,#JeremyGrantham #GMO Income inequality must be addressed. In 50 years society will be under stress. Our Grandchildren will be poorer #MICEUpic.twitter.com/CZHOzRqFhD,0,1,/MStarSimonHodge/status/842395996764143616,
23,@HeysannaHosanna,UNSCRAMBLE,13 mar. 2017,"Recognize that ""racism"" crosses all barriers. #Hatfield&McCoy  #HedgeFunds #inequality #JumpingGap #snowflakes #Blink #CommonwealthDay #GMO https://twitter.com/prisonplanet/status/841304958054092800 …",0,0,/HeysannaHosanna/status/841340477391659008,
24,@anarcho,anarcho,10 mar. 2017,"plus the health ratio for the young, which once thrived with a future has faltered beneath environmental toxins, GMO's, inequality",0,0,/anarcho/status/840213826737852416,
25,@ES_Organics,ES Organics,27 ene. 2017,"GMO's Grantham Goes Buffett on Taxes, Trump, & Inequality - Institutional Investor http://dlvr.it/NCpQkC",0,0,/ES_Organics/status/824842002747396096,
26,@offshorebroker,Stock Brokers,27 ene. 2017,"GMO’s Grantham Goes Buffett on Taxes, Trump, & Inequality - Gutting pensions and other working class benefits p... http://ow.ly/CCdA508Zvop",0,0,/offshorebroker/status/824781382161412096,
27,@HenryCorp,Henry Corp Inc LLC,29 dic. 2016,The latest The Corporate-Money Daily! http://paper.li/HenryCorp/Corporate-Money?edition_id=2bd9adb0-cdf0-11e6-8c0f-0cc47a0d1605 … #gmo #inequality,0,1,/HenryCorp/status/814530641572360193,
28,@cupit27,Evan cupit,28 nov. 2016,"Synchronicity: discussing 2 topics - wealth inequality & in science, genetically modified foods Here's image that showed both! @KwaySD43pic.twitter.com/K7YkqfiBin",0,0,/cupit27/status/803374823938334724,
29,@Goingtobelka,Maia,14 nov. 2016,"(14/75)  Like: income inequality, a rigged political system, bad trade deals, the healthcare cartel, wall st crime, GMO labeling, fracking..",120,321,/Goingtobelka/status/798287905470844928,
30,@offshoretraders,Best Offshore Broker,27 ene. 2017,"GMO’s Grantham Goes Buffett on Taxes, Trump, & Inequality - Gutting pensions and other working class benefits p... http://ow.ly/ai4g508ZuWc",0,0,/offshoretraders/status/824781305225281536,
31,@NinjxmTurtle,yoongi’s 3 dollar chain,11 nov. 2016,"when i'm living through a period or time where climate change, mass extinction, global poverty, GMO foods, growing health inequality",0,0,/NinjxmTurtle/status/797274911857405952,
32,@twistedgenes,SBoyce,9 nov. 2016,More endless unjust wars more unemployment more corporate control more GMO more inequality more deregulation more tax burden to working poor https://twitter.com/Glicklich_Facts/status/796403029058592768 …,0,0,/twistedgenes/status/796405280766427136,
33,@stedsimple,Will We Ever Learn?,30 oct. 2016,"Most of UK citizens are asleep to this eventuality: poor =eat #GMO, rich = eat #organic).
#Inequality #MonsantoCrimes",0,0,/stedsimple/status/792705433853100032,
34,@iriebohemia,Alicia 'Irie-B' Hall,10 oct. 2016,This is a game and a major waste of time. Did they talk about #GMO #VACCINES #RACISM #PoliceBrutality #Inequality http://fb.me/RzIFeMqN,0,0,/iriebohemia/status/785450421292765185,
35,@MMSFOceanBeach,Mike Murphy,15 ago. 2016,A HANDY model. How NOT to do gov't/civilization. Thanks @NASA. #climatechange #inequality #drought #GMO #Extincthttps://www.theguardian.com/environment/earth-insight/2014/mar/14/nasa-civilisation-irreversible-collapse-study-scientists …,2,1,/MMSFOceanBeach/status/765104821967781888,
36,@KPAULPNW,K Paul,29 jul. 2016,"Reforming VA, Income Inequality, Immigration, Housing, Social Security, GMO Labeling",0,1,/KPAULPNW/status/759059864576372736,
37,@sanhelmet,Sanjeev Vaidyanathan,28 jul. 2016,Immigration and Brexit (GMO) | An uneasy read (don't miss: chart correlating income inequality and social cohesion) https://www.gmo.com/docs/default-source/research-and-commentary/strategies/asset-allocation/immigration-and-brexit.pdf?sfvrsn=9 …,0,3,/sanhelmet/status/758601933212889088,
38,@PhillyBrogue,-,26 jul. 2016,We need more #factsnotfeelings.  @iamjohnoliver #rnc2016 #dnc2016 #crime #pacmoney #gmo #GlobalWarming #inequality #discrimination,0,2,/PhillyBrogue/status/757910261210681344,
39,@michaelallenmar,Michael Allen Martin,25 jul. 2016,"#GMO
#ClimateChange
#WallSt
#Inequality
#WAR
#Corruptions
#Bribes
""Who cares? We're actually pulling this sh*t off.""pic.twitter.com/ugNgCX7TNs",9,9,/michaelallenmar/status/757544075872473088,
40,@MstarDavis,Christopher Davis,15 jul. 2016,"GMO's Grantham talks #Brexit: http://bit.ly/29CD7Na . Is US next shock? Versus UK, social woes/inequality way worse pic.twitter.com/s6M18Ovf6O",1,1,/MstarDavis/status/754056721786691585,
41,@Kinkysissyn,Sissy Love,15 jul. 2016,"I am 4 guns, public funding, Robinhood Tax, legalized pot, ending poverty and inequality. I am against religion, corps, GMO's and the GOP.",2,5,/Kinkysissyn/status/753978623107878913,
42,@yongsagisa,Matthias Lehmann,14 jul. 2016,Sometimes wished there was such a rule... #SaveThePlanet #austerity #BlackLivesMatter #GMO #inequality #GlobalSouthpic.twitter.com/X40QTcL5lx,0,0,/yongsagisa/status/753650023947235328,
43,@MyFutureAlchemy,FutureAlchemy,3 jul. 2016,We could continue to support a worldwide economic system which thrives on inequality & waste. Or go GMO. Hmmmn. https://richarddawkins.net/2016/07/stop-bashing-g-m-o-foods-more-than-100-nobel-laureates-say/ … #gmo,1,2,/MyFutureAlchemy/status/749837965128458240,
44,@MythSerene,δεrεიε,1 jul. 2016,"Seriously. This guy is a badass.
 #climate #GMO #inequality #health  #community 
Get EMPOWERED.
#PlantSomeShithttps://twitter.com/CarlieCarpio/status/747554257541300224 …",2,3,/MythSerene/status/748898308291256320,
