,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@maverick4pa,mark brown,11 dic. 2017,"YES!  A Clear and Consumer Friendly GMO disclosure standard!
I still am shocked everyday that medicine was basically unaware of
the ^AB Hx=^risk of many diseases! And that Glyphosate is an AB!
And they say GMOs+AB+hormones etc are fine in our food supply. https://twitter.com/justlabelit/status/940190737815232512 …",0,0,/maverick4pa/status/940262220574978048,
1,@alzheimers_bio,Alzheimers News,11 dic. 2017,#alzheimers Sensory Neurons from Tau Transgenic Mice and Their Utility in Drug Screening.: Tau misfolding is a major cause of neurodegeneration tauopathies being a growing group of diseases in which tau forms insoluble aggregates best known in Alzheimer… http://bioportfol.io/Q5NSHq,0,0,/alzheimers_bio/status/940156477993508864,
2,@TheDrugStores,TheDrugStores,11 dic. 2017,"#ReTweet #MostLiked #WeightLoss  http://amzn.to/2jiKeUJ  NatureWise CLA 1250, High Potency, Natural Weight Loss Exercise Enhancement, Increase Lean Muscle Mass, Non Stimulating, Non GMO 100% Safflower Oil, Gluten pic.twitter.com/GUrwlw8wO8",0,1,/TheDrugStores/status/939985198804094976,
3,@AutophagyPapers,Autophagy Papers,11 dic. 2017,Sensory Neurons from Tau Transgenic Mice and Their Utility in Drug Screening. http://dlvr.it/Q5Jv7p pic.twitter.com/N3lARCBYWd,0,0,/AutophagyPapers/status/939969539764207616,
4,@crvallotton,Diagnosis my RIGHT!,10 dic. 2017,"Hi five both hands to #Brazil Let thy food be thy medicine.
North America our government refuses to label our food. #GMO @justlabelit people are getting sicker and sicker.
#Greed at the expense of human lives.https://twitter.com/healthranger/status/939495813285326850 …",1,1,/crvallotton/status/939897309415997440,
5,@FrillyHyena,Andrew Thomas,10 dic. 2017,"my life depends on a GMO. It also depends on said GMO's owners not being utter tools and raising the cost of the drug in question, but rich people dun care about the rest of us.",0,4,/FrillyHyena/status/939784018404392961,
6,@FarmFairyCrafts,Farm Fairy Crafts,10 dic. 2017,"If Food is Medicine, & for FDA Approval Medicines Go Through Clinical Trials, Why is #GMO Food Treated Differently w/o Requiring Trials?",1,0,/FarmFairyCrafts/status/939726454635429888,
7,@5Strat,John Salisbury,8 dic. 2017,"opiates = drug
anti-depressants = drug
booze = drug
cigarette = drug
caffeine = drug
refined white sugar = drug
GMO = drug
Time for America to get healthy and reject the drugs that are killing not only our bodies but our ability to reproduce our species. What's in your body?",1,2,/5Strat/status/939270291196223488,
8,@BrewThruu,Sara,8 dic. 2017,I used Chubbs pee to pass a drug test one time and she said “here goes your vegan organic non gmo pee let people know”,0,1,/BrewThruu/status/939237426320457728,
9,@GStoneSociety,Greenstone Society,8 dic. 2017,"Right now you'll find holiday specials on #GMO, #SkywalkerOG, #KosherDawg, #PurplePeopleEater, and a few more of your favorite flowers!
Check the menu > https://greenstonesociety.com/menu/  #AnnArbor #Cannabis #Medicine #THC #Marijuanapic.twitter.com/bTLxghUpoR",0,1,/GStoneSociety/status/939219293715169281,
10,@FarmFairyCrafts,Farm Fairy Crafts,8 dic. 2017,"Food Can be Medicine or Poison. Your Body, Your Choice.  #GMO pic.twitter.com/PfSk2L9nWd",2,1,/FarmFairyCrafts/status/938977510506852352,
11,@scimedsolutions,SciMed Solutions,7 dic. 2017,80% of Patient's Skin Replaced With Genetically-Modified Grafts  http://bit.ly/2iTe1TA  @discovermag #biotech #medicine #stemcells #sciencepic.twitter.com/QjdQnc2luT,0,0,/scimedsolutions/status/938652557672701959,
12,@NoGMOsVerified,NoGMOsVerified,6 dic. 2017,The New England Journal of Medicine Asks FDA to Reconsider Labeling GMO Foods #GMOs #RightToKnow #GMO /fd http://dld.bz/dRTYm,1,0,/NoGMOsVerified/status/938440342453522432,
13,@MRCHarwell,MRC Harwell,6 dic. 2017,"Apply for Genome Editing Mice for Medicine: http://bit.ly/GEMMCall , a bespoke genetically modified mouse service to advance understanding of human diseases @The_MRC #CRISPRpic.twitter.com/HkRfokLOSA",12,5,/MRCHarwell/status/938362116502949888,
