,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@FarmFairyCrafts,Farm Fairy Crafts,11 dic. 2017,"via @NatGeo: Second Silent Spring? Bird Declines Linked to Popular #GMO #Pesticides
http://news.nationalgeographic.com/news/2014/07/140709-birds-insects-pesticides-insecticides-neonicotinoids-silent-spring/ …pic.twitter.com/i4tOjqiDiu",0,0,/FarmFairyCrafts/status/940323161094189056,
1,@LeftSentThis,LEFT ✍🏾,11 dic. 2017,"Monsanto 
DuPont
Dow
Bayer 
Making patentable genetically-modified seeds, resistant to chemical pesticides and herbicides...
The next question is: who owns the chemicals that can destroy non genetically modified crops?   Who does it effect? Who ultimately benefits?",12,22,/LeftSentThis/status/940309890060378112,
2,@AFreshLook,A Fresh Look,11 dic. 2017,"Soybeans grown with GMO Farming are just like other farms’ crops, but they need less water, land & pesticides. http://takeafreshlook.org/6018rIomw pic.twitter.com/o99vlvpqu1",1,3,/AFreshLook/status/940309817348050944,
3,@Wolfspirit_73,hantaywee.makawee,11 dic. 2017,"You know GMO's are Gov says are safe cause Cancer, Birth Defects All the Pesticides are bad they over load us with them This needs to stop!!!!",1,1,/Wolfspirit_73/status/940257490758877186,
4,@rushing_around,Antonia Tegeler,11 dic. 2017,"All food we have today has been genetically modified in some way or another. Produce that is grown “Organically” uses the same amount of pesticides as conventional produce and has an equal impact on the environment. There is little to no evidence that eating organic-
1/2",0,2,/rushing_around/status/940239840867692544,
5,@soapdoesit,saint boudreau,11 dic. 2017,"wrong; the thief is governments / big poison corps. . vaccinations, GMO, PESTICIDES. 
, ''CANCER IS AN IMMUNE SYSTEM CORRUPTION, ''  GREED is killing the immune system   @USSenateWatch",0,1,/soapdoesit/status/940223997937176576,
6,@FarmFairyCrafts,Farm Fairy Crafts,11 dic. 2017,"via @NatGeo: A Town Demands Protection from #Pesticides:
http://news.nationalgeographic.com/2016/02/160223-photograph-aixa-argentina-avia-terai-pesticides-glyphosate/ …
#GMO
https://archive.is/ba1wq pic.twitter.com/hy1R2Gey5f",3,3,/FarmFairyCrafts/status/940052856047988739,
7,@GMOFreeUSA,GMO Free USA,10 dic. 2017,Bees and pesticides -Bayer and Monsanto  33% loss is still unacceptable. How could we drop that down by large margins? Ban neonics. Ban glyphosate. And ban GMOs. That's how. #ThingsThatJustDontGoTogether https://www.facebook.com/GMOFreeUSA/photos/a.468695639837571.108816.402058139834655/1689622674411522/?type=3&theater …pic.twitter.com/Wxg7l8LhA7,27,26,/GMOFreeUSA/status/939797872626819072,
8,@GMOFreeUSA,GMO Free USA,10 dic. 2017,Baby food and pesticides #ThingsThatJustDontGoTogether Join the conversation for more details on Facebook https://www.facebook.com/GMOFreeUSA/photos/a.468695639837571.108816.402058139834655/1860064134034041/?type=3&theater …pic.twitter.com/2k249CIcBV,11,8,/GMOFreeUSA/status/939789664050929664,
9,@VybeGod,Vybe-God,10 dic. 2017,"Don’t eat GMO’s unless you love adding herbicides, pesticides, and chemical fertilizers in your body. Yum...poison",5,5,/VybeGod/status/939675829839245312,
