,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@mem_somerville,mem_somerville | Wossamotta U,11 dic. 2017,Society of Toxicology releases new Issue Statement on food and feed safety related to genetically engineered (GE) crops: http://bit.ly/2klqekm  I missed this. Nice. #GMO,2,1,/mem_somerville/status/940333494793682944,
1,@Olivefarmer,Philli H,11 dic. 2017,Exactly....I totally respect the right to Academic Freedom and the right of a tenured professor to be a critic and conscience of society. So why are you here? This is a discussion on GMO food safety @FDA and pesticide safety @EPA not vaccines.So off you go...,0,1,/Olivefarmer/status/940325790285152256,
2,@Yung_Jefe1,GMO,11 dic. 2017,Can’t have an opinion here since all you social justice warriors bout to tear it apart. Imma let y’all speak https://twitter.com/renefromsubway/status/939755529324417024 …,0,1,/Yung_Jefe1/status/940318059100749824,
3,@Sync,Sync.com,15 jun. 2016,Work from anywhere with @Sync.  Secure cloud storage and sharing.  Get started with 5GB free.https://amp.twimg.com/v/de6f6a4f-f4be-408e-9f4c-6323dd5bbe9a …,599,0,/Sync/status/743080525812797440,
4,@NBdatapoints,Richard Reeleder,11 dic. 2017,“GMO” is a social justice issue—traits that can help alleviate nutrition and food security problems in the developing world. http://www.forbes.com/sites/kavinsenapathy/2017/11/20/the-anti-gmo-movement-has-a-social-justice-problem/#72ce73843a54 …,0,0,/NBdatapoints/status/940312208780808193,
5,@wutingzy,雾亭,11 dic. 2017,"oh well Chinese has never shied away from any social experiments from the big leap, cultural revolution, pushing for GMO foods and now AI. I think the human race at least owe Chinese this - we tried first so you don’t need to wonder",1,6,/wutingzy/status/940100641640218624,
6,@NoNameCulture,Melville  🇩🇪  🇺🇸,9 dic. 2017,"with politics out of the way, potentially... the new enemys are:
MEDIA (alternative media needed)
SOCIAL MEDIA (activism)
SOCIAL ENGINEERS
UNESCO UN INFLUENCE ON EDUCATION (big stuff...powerful players needed for this, possibilities exist)
GMO, NANOTECH, AI, VR. (all big stuff) https://twitter.com/NoNameCulture/status/939638532968206336 …",2,0,/NoNameCulture/status/939639289075458048,
7,@__MZICECOLD,Æ = ΔNDRΞS ΞlΔINΞ,9 dic. 2017,"#ResistanceIsImportant we will resist the following:
the cashless society
microchip implant
global government
self driving cars
the robot apocalypse 
gmo",0,2,/__MZICECOLD/status/939313330484899841,
8,@GStoneSociety,Greenstone Society,8 dic. 2017,"Right now you'll find holiday specials on #GMO, #SkywalkerOG, #KosherDawg, #PurplePeopleEater, and a few more of your favorite flowers!
Check the menu > https://greenstonesociety.com/menu/  #AnnArbor #Cannabis #Medicine #THC #Marijuanapic.twitter.com/bTLxghUpoR",0,1,/GStoneSociety/status/939219293715169281,
9,@L2political,L2 Data,8 dic. 2017,The L2/ Haystaq models are live in VoterMapping.  See voters scored 0-100 on 66 issues nationwide.  #energy #taxreform #turnout #activism #ACA #unions #church #border #enviroment #drugprice #opioid #guns #marijuana #pence #redistricting #transportation #GMO #schoolchoice #social pic.twitter.com/4XfXcyrHUk,1,2,/L2political/status/939103118725443585,
10,@FromGod_EN,Are you having fun?,7 dic. 2017,"……….
A #New #World #Order #microchipped society.
Where #genetically #modified #humans have no more rights or freedom.
MP 1:44 = Godpic.twitter.com/zFNmM2r9cj",0,0,/FromGod_EN/status/938838894598029313,
11,@Yung_Jefe1,GMO,7 dic. 2017,Too slow of a social media day for me to trash y’all,0,1,/Yung_Jefe1/status/938581165241282560,
12,@MmchenMao,Mao Chen,6 dic. 2017,Society of toxicology: foods from current commercial #GMO are as safe and nutritious as those from non-GMO  https://twitter.com/sotoxicology/status/937762311531651080 …,1,3,/MmchenMao/status/938437010414374913,
13,@COPACOGECA,COPA-COGECA,5 dic. 2017,"At #eaDebates Max Schulman, our Cereals WP Chairman underlines the need of better #communication in order to fight the misperception as to the use of #technology in farming- it's not a #GMO debate- society should know how it helps farmers produce more sustainably! pic.twitter.com/27ApeyQNgg",12,11,/COPACOGECA/status/938014175200251905,
14,@Glamour1Doll,✨ ✨Miss Henry ✨ ✨,4 dic. 2017,"AT&T Social Circle Team ready to bring you highlights from the 2018 GMO Kick Off...
•
•
•
#lifeatatt #gmo #globalmedia #corpcomm #ec #employeecomms #gamechangers #social #socialchorus #socialcircle #socialinfluencers #dallaspic.twitter.com/9aFsSCi9Qq",2,12,/Glamour1Doll/status/937780934954356736,
15,@PositivelyJoan,Positively Joan,3 dic. 2017,"The #IGFarben #Bilderberg #Dem hedge?#GMO #Monsanto boy Disturbin Durbin? 
RT@50linesonlyo
Your Democratic Senators who VOTED NO on the Sanders Amendment to ensure that Medicare Medicaid and Social Security do not get cut as a result of the #TaxScamBillpic.twitter.com/cHVnOgpcu9",2,2,/PositivelyJoan/status/937179409630539776,
16,@computergirl332,Holly Against GMO,2 dic. 2017,"LOL, Every Trumper I have met is on Medicaid, Medicare, Social Security or food stamps. MARK RUBIO said this will be cut in half.",2,5,/computergirl332/status/936860936828174337,
