,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
0,@HankCampbell,Hank Campbell,11 dic. 2017,"#ScienceLeftBehind. Been creeping up this whole century. I interviewed @aetiology about it in 2007. It was very prominent on the coasts by then, just like GMO and vaccine scaremongering. http://www.science20.com/science_2_0/the_least_known_war_in_science_does_hiv_cause_aids …https://twitter.com/jennysplitter/status/940244047758807046 …",0,0,/HankCampbell/status/940269274899283969,Usuario Verificado
1,@soapdoesit,saint boudreau,11 dic. 2017,"wrong; the thief is governments / big poison corps. . vaccinations, GMO, PESTICIDES. 
, ''CANCER IS AN IMMUNE SYSTEM CORRUPTION, ''  GREED is killing the immune system   @USSenateWatch",0,1,/soapdoesit/status/940223997937176576,
2,@Aaron97kim1Aj,AJ Aaron,11 dic. 2017,"+ Extraterritorial beings genetic engineered humans by manipulating our DNA.
+Astrology
+Man in black 
+Reptalin Alien ruling the world 
+illumanti 
+New world order 
+Matrix
+Sercet space program 
+vaccine
+GMO 
+ chemtrails
+ Area 51 and extraterritorial technology.",0,2,/Aaron97kim1Aj/status/940149907733786624,
3,@fakecloudwatch,Fake Clouds,11 dic. 2017,The latest Fake Cloud Watch! https://paper.li/fakecloudwatch/1422229260?edition_id=a414e370-de03-11e7-b14e-002590a5ba2d … Thanks to @FmasSion #gmo #whomurderedserenashim,0,1,/fakecloudwatch/status/940003575584915456,
4,@ForHisGlory52,4God†andCountry,10 dic. 2017,"Toxic vaccinations, GMO foods, fluoridated water, contaminated air, and plenty of power structure propaganda, all have taken their toll.  Perhaps the greatest weapon the power brokers wield is weather and biological warfare.
http://www.thecommonsenseshow.com/2017/12/09/global-alert-news-for-december-9-2017/ …
#Geoengineering",1,2,/ForHisGlory52/status/939904478320447488,
5,@GMO_eater,vaccine taker,10 dic. 2017,just upload me to the internet and i'll take it from there,0,0,/GMO_eater/status/939679269889835008,
6,@JohnSalmon859,John Salmon,10 dic. 2017,"And so I think conservatives are better on #science than lefties. The vaccine paranoia is seen on both sides. GMO fears, babies aren't babies, self-identification creates gender, CO2 is the climate control knob-all liberal tropes.",0,0,/JohnSalmon859/status/939646216400527360,
7,@GMO_eater,vaccine taker,9 dic. 2017,why do you have a shell in your bathroom,0,0,/GMO_eater/status/939347965105258497,
8,@MissionaryJapan,Armageddon Apocalyps,8 dic. 2017,"Illuminati homo-capensis specie is exterminating millions of human homo-sapiens specie using chem trail, GMO, cancer, vaccine, HAARP, war pic.twitter.com/xCvZDk8LJU",0,0,/MissionaryJapan/status/939253593625960448,
9,@Kieshaa_B,.,8 dic. 2017,"Just sat here and talked about white people, vaccinations, autism, homosexuality and genetically modified foods at 4am. We have a problem",0,1,/Kieshaa_B/status/939105801406418945,
10,@GMO_eater,vaccine taker,8 dic. 2017,"NORMAN REEDUS SWALLOWED THE FETUS
THE PROPHECIES WERE TRUE",0,0,/GMO_eater/status/938973667039485955,
11,@9_11_IsAnInside,9/11 Is-An InsideJob,6 dic. 2017,"GMO AND VACCINE SIDE-EFFECTS
SUICIDE https://twitter.com/ConsiderThis1/status/938545337039335424 …",0,0,/9_11_IsAnInside/status/938547643260612610,
12,@LotusOak,Vera Burnayev,6 dic. 2017,"Anti-#GMO but Pro-#Vaccine? Think again.
http://www.greenmedinfo.com/blog/anti-gmo-pro-vaccine …
#GMOspic.twitter.com/BYuWlBqQYT",7,9,/LotusOak/status/938437552285024256,
13,@ScienceAlly,Alliance for Science,6 dic. 2017,Are the anti #GMO and anti #vaccine movements merging? @mark_lynas reports on an ominous trend that requires a strong response from scientific community. http://bit.ly/2ixqMjb pic.twitter.com/cxuHv2lnYZ,37,41,/ScienceAlly/status/938418836394598400,
14,@HairyLyme,Jim Stroud,6 dic. 2017,Supporting a non-gmo group that is funded by anti-vaccine nuts all while putting cheese made with GMO rennet on their pizza. Hilarious.,0,2,/HairyLyme/status/938200756850749441,
15,@tenwattandrew,Andrew vG,5 dic. 2017,"Clean dirt, sterile environments, organic non GMO raw paleo food, no vaccinations.....
And then the parents wonder why their kid is always sick",0,15,/tenwattandrew/status/937866188390060032,
16,@WyoWeeds,Andrew Kniss,4 dic. 2017,"""...unlike climate change and vaccine skepticism, GM food skepticism is not driven by political or religious beliefs."" #GMO http://journals.sagepub.com/doi/10.1177/0146167217741314 …",5,10,/WyoWeeds/status/937825527368441857,
17,@Lovefunmagictru,Lucinda Randolph,4 dic. 2017,Watch  Jordan @DestroyIllusion LIVE! https://youtu.be/-P8dkAqUKZY  #TrumpArmy  #pizzagate #HollywoodIsDead Elite #Depopulation #Vaccine #GMO truthers who WANT #Peace #money #Disclosure  I LOVE #PresidentTrump  #TheAlliance #FollowTheWhiteRabbit #TheStormIsKarma BITCHES!  pic.twitter.com/HVn8KYUkNJ,2,4,/Lovefunmagictru/status/937729115830046720,
18,@DrSherryChandy,Sherry Chandy,4 dic. 2017,"A study has found skepticism about climate change is linked to political ideology, whereas skepticism about vaccinations consistently correlates with religious beliefs. In contrast, skepticism about genetically modified foods is not fuelled by religious … http://ift.tt/2AQYU4C pic.twitter.com/2BPWMO4p6A",0,0,/DrSherryChandy/status/937480658204622848,
19,@GMO_eater,vaccine taker,1 dic. 2017,"it is less like a conversation than it is like sharing a mind with someone else, thinking with them simultaneously",1,1,/GMO_eater/status/936575277534031872,
20,@Thorium_232,marcelina,1 dic. 2017,Japanese doctor wins global prize for standing up to anti-vaccine activists https://allianceforscience.cornell.edu/blog/japanese-doctor-wins-global-prize-standing-anti-vaccine-activists … anti Vaxx/Nuclear/GMO all the same cult #Auspol We need #thorium and #Uranium #Nuclear for #Climatepic.twitter.com/YC7iWSJKoh,6,6,/Thorium_232/status/936393312163979264,
21,@tavolapantesca,Peter Lambert,30 nov. 2017,"2017-2018 Flu Vaccine https://wtop.com/health-fitness/2017/11/2017-flu-season-could-be-worse-vaccine-not-as-effective-expert/ … In the age of peer review and modern since GMO, NIH, CDC and big pharma still rely on eggs are are surprised when a virus mutates toward its host the egg...",0,0,/tavolapantesca/status/936276240159465473,
22,@BioinfoTools,Grant Jacobs,30 nov. 2017,"For those looking for the actual report, it's linked in this press release. The point may be worth wider discussion but note in this report there's only one reference to ""denier"", and it's a general observation in the introduction.
#vaccine #GMO https://twitter.com/sciblogsnz/status/936073299456651264 …",1,2,/BioinfoTools/status/936084170702438401,
23,@VaccineResist,Vaccine Resistance,30 nov. 2017,The MMR Vaccine contains milk residue from transgenic cloned cows. This is the cause of lactose intolerance in children. VRM,15,22,/VaccineResist/status/936079850032349184,
